Contract_One year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,InternetService_Fiber optic,OnlineBackup_No internet service,tenure_standardized,gender_Male,StreamingMovies_Yes,OnlineSecurity_No internet service,Partner_Yes,OnlineSecurity_Yes,DeviceProtection_No internet service,MultipleLines_Yes,Dependents_Yes,SeniorCitizen_1,Contract_Two year,InternetService_No,StreamingMovies_No internet service,StreamingTV_No internet service,StreamingTV_Yes,PhoneService_Yes,TechSupport_No internet service,OnlineBackup_Yes,TotalCharges_standardized,TechSupport_Yes,MonthlyCharges_standardized,PaymentMethod_Mailed check,MultipleLines_No phone service,DeviceProtection_Yes,PaperlessBilling_Yes
0,0,0,0,0,0,0,-1.160322916,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.994194088,0,-1.277444584
1,0,0,0,1,0,0,-0.259628942,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.173739818,1,0.066327419
0,0,0,0,0,0,0,-0.362660356,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.959649109,1,-1.23672422
1,0,0,0,1,0,0,-0.746535463,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.195247707,1,0.51425142
0,0,0,0,0,1,0,0.197365233,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.940457454,0,-1.23672422
0,0,0,0,1,1,0,1.159545696,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,-0.645369218,0,-0.992402038
0,0,1,0,0,1,0,0.808906529,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-0.147312689,1,-0.422316946
0,0,0,0,0,0,0,-1.16364651,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.874169038,0,-0.91096131
0,0,0,0,1,1,0,1.330710787,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0.336515545,0,-0.177994763
1,0,1,0,0,0,0,-0.286217694,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.531476285,1,1.206497603
0,0,1,0,0,0,0,-0.492280522,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,-0.748187957,1,-0.788800219
0,1,0,1,0,0,1,-1.522594662,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,-0.86318347,1,-0.666639128
1,0,0,0,1,1,0,1.182810854,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1.499066574,1,1.043616148
0,0,0,0,1,1,0,1.294151253,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.214588897,1,0.677132875
0,0,0,0,1,1,0,1.353975945,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0.177688057,1,-0.300155854
0,1,1,0,1,1,0,1.61155448,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,2.475877682,0,1.491540149
1,0,0,1,0,0,1,-1.466093564,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.556050816,0,0.799293966
0,1,1,0,1,1,0,1.393859073,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2.249592631,1,1.572980877
0,0,1,0,1,0,0,-0.317791837,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-0.774262136,0,-0.91096131
0,0,0,0,1,1,0,0.840480672,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,-0.185475405,0,-0.463037309
0,0,0,0,1,0,0,-0.834610704,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,-0.989870451,1,-1.277444584
1,0,0,1,0,0,1,-1.494344113,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-0.918133369,1,-0.829520583
0,0,0,1,0,0,1,-1.482711534,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.998473606,1,-1.277444584
0,1,0,0,0,0,0,-0.161582919,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.53904265,0,1.043616148
0,0,1,0,0,0,0,-0.171553701,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0.303095594,1,0.677132875
0,0,0,0,0,0,0,-0.314468243,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.332081999,0,-0.096554036
0,0,1,0,0,1,0,1.149574914,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1.087901916,1,0.595692147
0,0,1,0,0,0,0,-1.148690337,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.994039672,1,-1.277444584
0,1,0,0,1,0,0,0.84712786,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1.802757966,1,1.61370124
0,0,1,0,0,0,0,-0.002050407,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,-0.525101515,0,-0.625918764
0,1,0,0,1,1,0,1.049867094,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1.978129983,0,1.572980877
0,0,0,0,1,1,0,1.021616545,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,-0.927221831,1,-1.23672422
